Season_End_Year,Squad,Comp,Left,Right,total,ratio
2022,Alavés,La Liga,3557,7577,11134,0.31947188791090353
2022,Angers,Ligue 1,6953,9999,16952,0.410158093440302
2022,Arminia,Bundesliga,3472,7464,10936,0.3174835405998537
2022,Arsenal,Premier League,8203,9281,17484,0.4691718142301533
2022,Aston Villa,Premier League,5279,8685,13964,0.37804354053279865
2022,Atalanta,Serie A,7302,11492,18794,0.3885282536979887
2022,Athletic Club,La Liga,3971,10746,14717,0.2698240130461371
2022,Atlético Madrid,La Liga,4942,11834,16776,0.2945875059608965
2022,Augsburg,Bundesliga,2882,7835,10717,0.2689185406363721
2022,Barcelona,La Liga,6029,17032,23061,0.2614370582368501
2022,Bayern Munich,Bundesliga,6583,15098,21681,0.3036299063696324
2022,Betis,La Liga,7782,9452,17234,0.4515492630846002
2022,Bochum,Bundesliga,4177,7066,11243,0.37152005692430845
2022,Bologna,Serie A,4890,11100,15990,0.3058161350844278
2022,Bordeaux,Ligue 1,3836,11439,15275,0.2511292962356792
2022,Brentford,Premier League,4868,8283,13151,0.3701619648695917
2022,Brest,Ligue 1,4158,10012,14170,0.29343683839096685
2022,Brighton,Premier League,4981,13098,18079,0.2755130261629515
2022,Burnley,Premier League,3977,7132,11109,0.3579980196237285
2022,Cádiz,La Liga,3009,8973,11982,0.25112669003505256
2022,Cagliari,Serie A,3994,9228,13222,0.30207230373619726
2022,Celta Vigo,La Liga,6300,11610,17910,0.35175879396984927
2022,Chelsea,Premier League,5291,16996,22287,0.23740297034145466
2022,Clermont Foot,Ligue 1,5932,11465,17397,0.340978329597057
2022,Crystal Palace,Premier League,4664,11547,16211,0.287705878724323
2022,Dortmund,Bundesliga,5747,13339,19086,0.3011107618149429
2022,Eint Frankfurt,Bundesliga,5778,8787,14565,0.39670442842430487
2022,Elche,La Liga,6156,8499,14655,0.42006141248720574
2022,Empoli,Serie A,4612,10084,14696,0.31382689167120303
2022,Espanyol,La Liga,4603,10208,14811,0.3107825265005739
2022,Everton,Premier League,3548,8426,11974,0.2963086687823618
2022,Fiorentina,Serie A,7967,10915,18882,0.4219362355682661
2022,Freiburg,Bundesliga,4231,9025,13256,0.31917622208811103
2022,Genoa,Serie A,3771,9401,13172,0.2862890980868509
2022,Getafe,La Liga,4017,7770,11787,0.3407991855433953
2022,Granada,La Liga,3737,8627,12364,0.30224846328049176
2022,Greuther Fürth,Bundesliga,4023,7795,11818,0.34041292942968354
2022,Hellas Verona,Serie A,4768,10034,14802,0.3221186326172139
2022,Hertha BSC,Bundesliga,3458,8311,11769,0.2938227546945365
2022,Hoffenheim,Bundesliga,4548,11224,15772,0.28835911742328174
2022,Inter,Serie A,5414,14374,19788,0.27360016171417023
2022,Juventus,Serie A,6557,11286,17843,0.3674830465728857
2022,Köln,Bundesliga,5111,9283,14394,0.3550785049326108
2022,Lazio,Serie A,5132,15927,21059,0.24369628187473288
2022,Leeds United,Premier League,7343,8301,15644,0.4693812324213756
2022,Leicester City,Premier League,4797,12673,17470,0.27458500286204923
2022,Lens,Ligue 1,4814,13451,18265,0.26356419381330415
2022,Levante,La Liga,2880,11411,14291,0.20152543558883212
2022,Leverkusen,Bundesliga,6020,10370,16390,0.36729713239780354
2022,Lille,Ligue 1,4837,11917,16754,0.288707174406112
2022,Liverpool,Premier League,5942,16648,22590,0.2630367419212041
2022,Lorient,Ligue 1,4718,10098,14816,0.31843952483801297
2022,Lyon,Ligue 1,8007,13390,21397,0.37421133803804274
2022,M'Gladbach,Bundesliga,3835,12434,16269,0.23572438379740612
2022,Mainz 05,Bundesliga,5086,7353,12439,0.40887531152021866
2022,Mallorca,La Liga,3918,8653,12571,0.3116697160130459
2022,Manchester City,Premier League,10088,15241,25329,0.39827865292747444
2022,Manchester Utd,Premier League,5808,12263,18071,0.32139892645675394
2022,Marseille,Ligue 1,7384,15372,22756,0.3244858498857444
2022,Metz,Ligue 1,3139,10427,13566,0.2313872917588088
2022,Milan,Serie A,6334,10978,17312,0.36587338262476893
2022,Monaco,Ligue 1,5509,12738,18247,0.3019126431742204
2022,Montpellier,Ligue 1,4821,10811,15632,0.30840583418628453
2022,Nantes,Ligue 1,5062,9272,14334,0.35314636528533555
2022,Napoli,Serie A,7704,13437,21141,0.36441038739889314
2022,Newcastle Utd,Premier League,3260,8250,11510,0.2832319721980886
2022,Nice,Ligue 1,5796,11894,17690,0.32764273600904464
2022,Norwich City,Premier League,4770,8734,13504,0.353228672985782
2022,Osasuna,La Liga,4886,8524,13410,0.3643549589858315
2022,Paris S-G,Ligue 1,8930,16272,25202,0.35433695738433457
2022,Rayo Vallecano,La Liga,4577,9744,14321,0.3196005865512185
2022,RB Leipzig,Bundesliga,4653,12986,17639,0.26379046431203584
2022,Real Madrid,La Liga,7203,15602,22805,0.3158517868888402
2022,Real Sociedad,La Liga,7151,9603,16754,0.4268234451474275
2022,Reims,Ligue 1,4683,9074,13757,0.34040851929926585
2022,Rennes,Ligue 1,6254,12871,19125,0.3270065359477124
2022,Roma,Serie A,3761,12975,16736,0.22472514340344169
2022,Saint-Étienne,Ligue 1,6948,8678,15626,0.44464354281325996
2022,Salernitana,Serie A,4577,7586,12163,0.37630518786483597
2022,Sampdoria,Serie A,4558,10169,14727,0.30949955863380185
2022,Sassuolo,Serie A,6717,12006,18723,0.3587566095177055
2022,Sevilla,La Liga,6372,13379,19751,0.3226165763758797
2022,Southampton,Premier League,3456,10859,14315,0.24142507858889278
2022,Spezia,Serie A,5355,8028,13383,0.4001344989912576
2022,Strasbourg,Ligue 1,4553,11826,16379,0.2779778985286037
2022,Stuttgart,Bundesliga,6599,8550,15149,0.4356063106475675
2022,Torino,Serie A,4912,10810,15722,0.31242844421829286
2022,Tottenham,Premier League,5056,13171,18227,0.27739068414988755
2022,Troyes,Ligue 1,5415,9451,14866,0.36425400242163325
2022,Udinese,Serie A,4407,8953,13360,0.32986526946107786
2022,Union Berlin,Bundesliga,3489,8916,12405,0.28125755743651754
2022,Valencia,La Liga,3789,7493,11282,0.3358447083850381
2022,Venezia,Serie A,4508,8636,13144,0.3429701765063907
2022,Villarreal,La Liga,6992,11287,18279,0.38251545489359373
2022,Watford,Premier League,4276,7613,11889,0.3596601900916814
2022,West Ham,Premier League,4462,11246,15708,0.2840590781767252
2022,Wolfsburg,Bundesliga,7034,7103,14137,0.49755959538798894
2022,Wolves,Premier League,5574,10918,16492,0.3379820519039534
2021,Atlanta Utd,Major League Soccer,4772,11846,16618,0.2871585028282585
2021,Austin FC,Major League Soccer,3972,11988,15960,0.24887218045112783
2021,CF Montréal,Major League Soccer,5311,10769,16080,0.3302860696517413
2021,Chicago Fire,Major League Soccer,5005,8894,13899,0.3600978487660983
2021,Colorado Rapids,Major League Soccer,5331,9017,14348,0.3715500418176749
2021,Columbus Crew,Major League Soccer,3610,11353,14963,0.24126177905500235
2021,D.C. United,Major League Soccer,3480,8550,12030,0.2892768079800499
2021,FC Cincinnati,Major League Soccer,5654,8783,14437,0.3916326106531828
2021,FC Dallas,Major League Soccer,5288,9944,15232,0.3471638655462185
2021,Houston Dynamo,Major League Soccer,4158,8530,12688,0.3277112232030265
2021,Inter Miami,Major League Soccer,4587,9325,13912,0.3297153536515239
2021,LA Galaxy,Major League Soccer,4706,12352,17058,0.2758822839723297
2021,Los Angeles FC,Major League Soccer,4625,9582,14207,0.32554374604068415
2021,Minnesota Utd,Major League Soccer,5303,9331,14634,0.36237529041957084
2021,Nashville,Major League Soccer,5071,8445,13516,0.3751849659662622
2021,New England,Major League Soccer,4368,10220,14588,0.29942418426103645
2021,NY Red Bulls,Major League Soccer,3641,7969,11610,0.3136089577950043
2021,NYCFC,Major League Soccer,5138,10082,15220,0.33758212877792376
2021,Orlando City,Major League Soccer,4613,10479,15092,0.30565862708719854
2021,Philadelphia,Major League Soccer,3921,9225,13146,0.2982656321314468
2021,Portland Timbers,Major League Soccer,3402,10097,13499,0.25201866804948514
2021,Real Salt Lake,Major League Soccer,3698,10239,13937,0.2653368730716797
2021,San Jose,Major League Soccer,4765,9429,14194,0.33570522756094123
2021,Seattle,Major League Soccer,4189,10322,14511,0.2886775549583075
2021,Sporting KC,Major League Soccer,7729,9743,17472,0.4423649267399267
2021,Toronto FC,Major League Soccer,4701,10758,15459,0.3040947021152727
2021,Vancouver,Major League Soccer,3873,9359,13232,0.2926995163240629
